Categoría: Todas las categorías

Semana,Organización Soriana: (México),Chedraui: (México),HEB: (México)
2024-06-16,49,33,12
2024-06-23,46,35,12
2024-06-30,48,37,13
2024-07-07,44,38,12
2024-07-14,54,42,13
2024-07-21,47,41,13
2024-07-28,44,42,13
2024-08-04,36,35,13
2024-08-11,35,37,13
2024-08-18,40,37,14
2024-08-25,37,38,13
2024-09-01,34,34,12
2024-09-08,36,39,12
2024-09-15,31,33,14
2024-09-22,33,31,11
2024-09-29,34,38,13
2024-10-06,33,31,11
2024-10-13,32,36,12
2024-10-20,33,32,12
2024-10-27,36,33,13
