Nombre Comercial,Razón social,Formato,Especialización
OFIX,OFIX S.A. DE C.V.,Especializada,Papelería y Artículos de Oficina
OLD NAVY,LT FASHION SA DE CV,Especializada,Tienda de Ropa
OPTICAS DEVLYN,OPTICAS DEVLYN SA DE CV,Especializada,Óptica
ÓPTICAS LUX,PRECISIÓN ÓPTICA S.A.,Especializada,Óptica
PETCO,MASCOTAS Y COMPAÑÍA S.A.P.I. DE C.V.,Especializada,Tienda de Artículos para Mascotas
PRESLOW,PRESLOW S.A. DE C.V.,Especializada,Tienda de Ropa
SAMSONITE,SAMSONITE MÉXICO S.A. de C.V.,Especializada,Tienda de Equipaje
RADIO SHACK,RADIO SHACK DE MÉXICO S.A. DE C.V.,Especializada,Tienda de Electrónica
SHASA,SERVICIOS SHASA S. DE R.L. DE C.V.,Especializada,Tienda de Ropa
SODIMAC,COMERCIALIZADORA SDMHC S.A. de C.V.,Especializada,Tienda de Mejoras para el Hogar
SÚPER PAPELERÍAS TONY,TONY TIENDAS S.A. DE C.V.,Especializada,Papelería
SUPERFARMACIAS EL FÉNIX,DROGUERÍA Y FARMACIA EL FÉNIX S.A. DE C.V.,Especializada,Farmacia
THE HOME DEPOT,HOME DEPOT MÉXICO S. DE R.L. DE C.V.,Especializada,Tienda de Mejoras para el Hogar
THE HOME STORE,DISTRIBUIDORA STOREHOME S.A. DE C.V.,Especializada,Tienda de Artículos para el Hogar
TIENDAS ATLAS,GRUPO COMERCIAL ATLAS S.A. DE C.V.,Especializada,Tienda de Electrónica
TODO MODA / ISADORA,BIJOU MÉXICO S.A. DE C.V.,Especializada,Tienda de Accesorios de Moda
ZARA,ZARA MÉXICO S.A. DE C.V.,Especializada,Tienda de Ropa
MACROPAY,CELULARES Y ACCESORIOS DEL SURESTE S.A. DE C.V.,Especializada,Tienda de Telefonía Móvil
SAN PABLO,PHARMA PLUS SA DE CV,Especializada,Farmacia
TIENDAS LINGERIX,TIENDAS LINGERIX S. DE R.L. DE C.V.,Especializada,Tienda de Lencería
STEREN,ELECTRÓNICA STEREN S.A. DE C.V.,Especializada,Tienda de Electrónica
SFERA MODA JOVEN,OPERADORA SFERA JOVEN MEXICO SA DE CV,Especializada,Tienda de Ropa
SUPER NATURISTA,SUPER MAYOREO NATURISTA S.A. DE C.V.,Especializada,Tienda de Alimentos Saludables
CARTERS,CARTERS BRANDS S.A. DE C.V.,Especializada,Tienda de Ropa Infantil
LA FERRE,LA FERRE COMERCIALIZADORA S.A. DE C.V.,Especializada,Ferretería
